COUNTRY_ID,CURRENCY_ID,NAME                           ,EU_GEOGRAPHIC_CODE,STATE_BASED_TAX,VALID_FROM,VALID_TO,EEA_FLG
ETH       ,ETB        ,Ethiopia                       ,NON-EC            ,               ,01/01/2014,        ,N
FIN       ,EUR        ,Finland                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
FJI       ,FJD        ,Fiji                           ,NON-EC            ,               ,01/01/2014,        ,N
FLK       ,FKP        ,Falkland Islands (Malvinas)    ,NON-EC            ,               ,01/01/2014,        ,N
FSM       ,USD        ,"Micronesia, FS"               ,NON-EC            ,               ,01/01/2014,        ,N
FRO       ,DKK        ,Faroe Islands                  ,NON-EU            ,               ,01/01/2014,        ,N
FRA       ,EUR        ,France                         ,INTRA-EU          ,               ,01/01/2014,        ,Y
GAB       ,XAF        ,Gabon                          ,NON-EC            ,               ,01/01/2014,        ,N
GBR       ,GBP        ,United Kingdom                 ,NON-EU            ,               ,01/01/2014,        ,Y
GRD       ,XCD        ,Grenada                        ,NON-EC            ,               ,01/01/2014,        ,N
GEO       ,GEL        ,Georgia                        ,NON-EU            ,               ,01/01/2014,        ,N
GUF       ,EUR        ,French Guiana                  ,NON-EC            ,               ,01/01/2014,        ,N
GGY       ,GBP        ,Guernsey                       ,NON-EU            ,               ,01/01/2014,        ,N
GHA       ,GHS        ,Ghana                          ,NON-EC            ,               ,01/01/2014,        ,N
GIB       ,GIP        ,Gibraltar                      ,NON-EU            ,               ,01/01/2014,        ,N
GRL       ,DKK        ,Greenland                      ,NON-EC            ,               ,01/01/2014,        ,N
GMB       ,GMD        ,Gambia                         ,NON-EC            ,               ,01/01/2014,        ,N
GIN       ,GNF        ,Guinea                         ,NON-EC            ,               ,01/01/2014,        ,N
GLP       ,EUR        ,Guadeloupe                     ,NON-EC            ,               ,01/01/2014,        ,N
GNQ       ,XAF        ,Equatorial Guinea              ,NON-EC            ,               ,01/01/2014,        ,N
GRC       ,EUR        ,Greece                         ,INTRA-EU          ,               ,01/01/2014,        ,Y
SGS       ,GBP        ,"South Georgia, Sandwich Isles",NON-EC            ,               ,01/01/2014,        ,N
GTM       ,GTQ        ,Guatemala                      ,NON-EC            ,               ,01/01/2014,        ,N
GUM       ,USD        ,Guam                           ,NON-EC            ,               ,01/01/2014,        ,N
GNB       ,XOF        ,Guinea-Bissau                  ,NON-EC            ,               ,01/01/2014,        ,N
GUY       ,GYD        ,Guyana                         ,NON-EC            ,               ,01/01/2014,        ,N
HKG       ,HKD        ,Hong Kong                      ,NON-EC            ,               ,01/01/2014,        ,N
HMD       ,AUD        ,Heard and McDonald Islands     ,NON-EC            ,               ,01/01/2014,        ,N
HND       ,HNL        ,Honduras                       ,NON-EC            ,               ,01/01/2014,        ,N
HRV       ,HRK        ,Croatia                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
HTI       ,HTG        ,Haiti                          ,NON-EC            ,               ,01/01/2014,        ,N
HUN       ,HUF        ,Hungary                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
IDN       ,IDR        ,Indonesia                      ,NON-EC            ,               ,01/01/2014,        ,N
IRL       ,EUR        ,Ireland                        ,INTRA-EU          ,               ,01/01/2014,        ,Y
ISR       ,ILS        ,Israel                         ,NON-EC            ,               ,01/01/2014,        ,N
IMN       ,GBP        ,Isle of Man                    ,NON-EU            ,               ,01/01/2014,        ,N
IND       ,INR        ,India                          ,NON-EC            ,               ,01/01/2014,        ,N
IOT       ,USD        ,British Indian Ocean Territory ,NON-EC            ,               ,01/01/2014,        ,N
IRQ       ,IQD        ,Iraq                           ,NON-EC            ,               ,01/01/2014,        ,N
IRN       ,IRR        ,"Iran, Islamic Republic of"    ,NON-EC            ,               ,01/01/2014,        ,N
ISL       ,ISK        ,Iceland                        ,NON-EU            ,               ,01/01/2014,        ,Y
ITA       ,EUR        ,Italy                          ,INTRA-EU          ,               ,01/01/2014,        ,Y
JEY       ,GBP        ,Jersey                         ,NON-EU            ,               ,01/01/2014,        ,N
JAM       ,JMD        ,Jamaica                        ,NON-EC            ,               ,01/01/2014,        ,N
JOR       ,JOD        ,Jordan                         ,NON-EC            ,               ,01/01/2014,        ,N
JPN       ,JPY        ,Japan                          ,NON-EC            ,               ,01/01/2014,        ,N
KEN       ,KES        ,Kenya                          ,NON-EC            ,               ,01/01/2014,        ,N
KGZ       ,KGS        ,Kyrgyzstan                     ,NON-EC            ,               ,01/01/2014,        ,N
KHM       ,KHR        ,Cambodia                       ,NON-EC            ,               ,01/01/2014,        ,N
KIR       ,AUD        ,Kiribati                       ,NON-EC            ,               ,01/01/2014,        ,N
COM       ,KMF        ,Comoros                        ,NON-EC            ,               ,01/01/2014,        ,N
KNA       ,XCD        ,Saint Kitts and Nevis          ,NON-EC            ,               ,01/01/2014,        ,N
PRK       ,KPW        ,"Korea, DPR"                   ,NON-EC            ,               ,01/01/2014,        ,N
KOR       ,KRW        ,"Korea, Republic of"           ,NON-EC            ,               ,01/01/2014,        ,N
KWT       ,KWD        ,Kuwait                         ,NON-EC            ,               ,01/01/2014,        ,N
CYM       ,KYD        ,Cayman Islands                 ,NON-EC            ,               ,01/01/2014,        ,N
KAZ       ,KZT        ,Kazakhstan                     ,NON-EC            ,               ,01/01/2014,        ,N
LAO       ,LAK        ,"Lao People's, DR"             ,NON-EC            ,               ,01/01/2014,        ,N
LBN       ,LBP        ,Lebanon                        ,NON-EC            ,               ,01/01/2014,        ,N
LCA       ,XCD        ,Saint Lucia                    ,NON-EC            ,               ,01/01/2014,        ,N
LIE       ,CHF        ,Liechtenstein                  ,NON-EU            ,               ,01/01/2014,        ,Y
LKA       ,LKR        ,Sri Lanka                      ,NON-EC            ,               ,01/01/2014,        ,N
LBR       ,LRD        ,Liberia                        ,NON-EC            ,               ,01/01/2014,        ,N
LSO       ,LSL        ,Lesotho                        ,NON-EC            ,               ,01/01/2014,        ,N
LTU       ,EUR        ,Lithuania                      ,INTRA-EU          ,               ,01/01/2014,        ,Y
LUX       ,EUR        ,Luxembourg                     ,INTRA-EU          ,               ,01/01/2014,        ,Y
LVA       ,EUR        ,Latvia                         ,INTRA-EU          ,               ,01/01/2014,        ,Y
LBY       ,LYD        ,Libya                          ,NON-EC            ,               ,01/01/2014,        ,N
MAR       ,MAD        ,Morocco                        ,NON-EC            ,               ,01/01/2014,        ,N
MCO       ,EUR        ,Monaco                         ,NON-EU            ,               ,01/01/2014,        ,N
MDA       ,MDL        ,"Moldova, Republic of"         ,NON-EU            ,               ,01/01/2014,        ,N
MNE       ,EUR        ,Montenegro                     ,NON-EU            ,               ,01/01/2014,        ,N
MAF       ,EUR        ,Saint Martin (French part)     ,NON-EC            ,               ,01/01/2014,        ,N
MDG       ,MGA        ,Madagascar                     ,NON-EC            ,               ,01/01/2014,        ,N
MHL       ,USD        ,Marshall Islands               ,NON-EC            ,               ,01/01/2014,        ,N
MKD       ,MKD        ,North Macedonia                ,NON-EU            ,               ,01/01/2014,        ,N
MLI       ,XOF        ,Mali                           ,NON-EC            ,               ,01/01/2014,        ,N
MMR       ,MMK        ,Myanmar                        ,NON-EC            ,               ,01/01/2014,        ,N
MNG       ,MNT        ,Mongolia                       ,NON-EC            ,               ,01/01/2014,        ,N
MAC       ,MOP        ,Macao                          ,NON-EC            ,               ,01/01/2014,        ,N
MNP       ,USD        ,Northern Mariana Islands       ,NON-EC            ,               ,01/01/2014,        ,N
MTQ       ,EUR        ,Martinique                     ,NON-EC            ,               ,01/01/2014,        ,N
MRT       ,MRU        ,Mauritania                     ,NON-EC            ,               ,01/01/2014,        ,N
MSR       ,XCD        ,Montserrat                     ,NON-EC            ,               ,01/01/2014,        ,N
MLT       ,EUR        ,Malta                          ,INTRA-EU          ,               ,01/01/2014,        ,Y
MUS       ,MUR        ,Mauritius                      ,NON-EC            ,               ,01/01/2014,        ,N
MDV       ,MVR        ,Maldives                       ,NON-EC            ,               ,01/01/2014,        ,N
MWI       ,MWK        ,Malawi                         ,NON-EC            ,               ,01/01/2014,        ,N
MEX       ,MXN        ,Mexico                         ,NON-EC            ,               ,01/01/2014,        ,N
MYS       ,MYR        ,Malaysia                       ,NON-EC            ,               ,01/01/2014,        ,N
MOZ       ,MZN        ,Mozambique                     ,NON-EC            ,               ,01/01/2014,        ,N
NAM       ,NAD        ,Namibia                        ,NON-EC            ,               ,01/01/2014,        ,N
NCL       ,XPF        ,New Caledonia                  ,NON-EC            ,               ,01/01/2014,        ,N
NER       ,XOF        ,Niger                          ,NON-EC            ,               ,01/01/2014,        ,N
NFK       ,AUD        ,Norfolk Island                 ,NON-EC            ,               ,01/01/2014,        ,N
NGA       ,NGN        ,Nigeria                        ,NON-EC            ,               ,01/01/2014,        ,N
NIC       ,NIO        ,Nicaragua                      ,NON-EC            ,               ,01/01/2014,        ,N
